"kingdom","phylum","class","order","family","genus","species","SH_species","OTU","exploration_type","Ecm_lineage","mean_gs"
"Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","unknown","Pisolithus_sp","ITSall_OTUb_8759","long-distance","/pisolithus-scleroderma","80.2764285714286"
"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","unknown","Russula_sp","ITSall_OTUb_3146","contact","/russula-lactarius","51.2346153846154"
"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","unknown","Russula_sp","ITSall_OTUj_14951","contact","/russula-lactarius","51.2346153846154"
"Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","unknown","unknown","Sebacina_sp","ITSall_OTUk_1775","unknown","unknown","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","unknown","Tomentella_sp","ITSall_OTUm_355","medium-distance_smooth","/tomentella-thelephora","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","unknown","Inocybe_sp","ITSall_OTUj_150","short-distance_delicate","/inocybe","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon","unknown","Boletales_sp","ITSall_OTUn_6179","long-distance","/suillus-rhizopogon","54.6493333333333"
"Fungi","Glomeromycota","Glomeromycetes","Diversisporales","unknown","unknown","unknown","Entrophospora_sp","ITSall_OTUn_5597","unknown","unknown","unknown"
"Fungi","Glomeromycota","Glomeromycetes","unknown","unknown","unknown","unknown","Glomeromycota_sp","ITSall_OTUn_4186","unknown","unknown","unknown"
"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","unknown","Claroideoglomus_sp","ITSall_OTUn_316","unknown","unknown","37.45"
